DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
27-May-23,AZA ONLINE KOLKATA,May-22,238449,,VSS205,PORCELAIN,M,,8765,12-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS22,DRESS,8-10K
27-May-23,AZA ALTAMOUNT,May-22,Ms. Prerna / So No 8392,,VSS355,PEARL,XXL,,12525,12-Jun-23,AZA ALTAMOUNT,CORPORATE OFFLINE,SS23,KURTA,12-14K
30-May-23,PERNIA,May-22,478385,,VSS191,PORCELAIN,M,,11595,14-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,10-12K
31-May-23,OGAAN ONLINE,May-22,111002,,VSS28,SAPPHIRE,M,,8995,20-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,FESTIVE 20,CO-ORD,8K-10K
31-May-23,OGAAN ONLINE,May-22,111001,,VSS330,PEARL,M,,10395,20-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,CO-ORD,10-12K
31-May-23,AZA ONLINE KOLKATA,May-22,239664,,VSS348,SAND,XL,OS22995,7095,06-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,DRESS,6K-8K
31-May-23,AZA ONLINE KOLKATA,May-22,239663,,VSS349,HIBISCUS,XL,,9975,20-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,JACKET DRESS,8K-10K
01-Jun-23,PERNIA,Jun-23,479508,,VSS28,SAPPHIRE,S,OS23681,8995,17-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,CO-ORD,8K-10K
02-Jun-23,AZA ONLINE KOLKATA,Jun-23,235287,,VSS228,TUSCANY,L,OS23726,12745,06-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS22,KURTA,12K-14K
02-Jun-23,AZA ONLINE KOLKATA,Jun-23,240264,,VSS334,SKY,L,OS23455,10755,08-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,DRESS,10K-12K
03-Jun-23,AZA ONLINE KOLKATA,Jun-23,240514,,VSS332,RUE,S,,8455,24-Jun-23,AZA ONLINE,CORPORATE ONLINE,,DRESS,8K-10K
05-Jun-23,AZA ONLINE KOLKATA,Jun-23,240898,,VSS328,PEARL,XS,,12285,25-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
05-Jun-23,AZA ONLINE KOLKATA,Jun-23,241013,,VSS349,HIBISCUS,XXL,,9975,26-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,JACKET DRESS,8-10K
05-Jun-23,PERNIA MUMBAI,Jun-23,480427,,VSS347,ASH,M,,12865,19-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
05-Jun-23,OGAAN ONLINE,Jun-23,111333,,VSS350,SAND,M,,13985,23-Jun-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
06-Jun-23,PERNIA MUMBAI,Jun-23,481747,,VSS346,HIBISCUS,S,OS22784,13985,22-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
06-Jun-23,AZA ONLINE KOLKATA,Jun-23,241678,,VSS299,COBALT,M,OS21328,12985,13-Jun-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
06-Jun-23,PERNIA MUMBAI,Jun-23,481838,,VSS336,RUE,XL,OS23618,12745,21-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
06-Jun-23,PERNIA MUMBAI,Jun-23,481844,,VSS197,PORCELAIN,M,,13985,22-Jun-23,PERNIA,CORPORATE ONLINE,SS22,KURTA,12-14K
07-Jun-23,ONE ELAHE,Jun-23,6069,10414 A,VSS362,RUE,S,OS21552,10475,27-Jun-23,ELAHE ONLINE,CORPORATE ONLINE,SS23,CO-ORD,10-12K
07-Jun-23,ONE ELAHE,Jun-23,6069,10414 B,VSS335,SKY,M,OS21597,9885,27-Jun-23,ELAHE ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
