DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 F,VSS214,PORCELAIN + SKY,M,OS23642,12745,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 G,VSS239,BERRY,M,OS20891,13985,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 H,VSS202,LIME AND ASH,M,OS22627,13745,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 I,VSS135,BERRY + MINT,S,OS10433,12965,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,PRE FESTIVE 21,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 J,VSS315,CAMELLIA,M,OS19352,10995,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 K,VSS198,PRUSSIAN,M,OS15934,12865,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 L,VSS319,ORCHID,L,OS20735,12985,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 M,VSS178,PLUM,L,OS22041,13565,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 21,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 N,VSS295,CAMELLIA,L,OS22289,12995,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 O,VSS255,ELECTRIC BLUE,L,OS17515,13585,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 P,VSS351,HIBISCUS,M,OS22424,13855,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS23,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 Q,VSS278,ROSETTE,M,OS20430,13825,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,PRE FESTIVE 22,CO-ORD,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 R,VSS195,TUSCANY,M,OS20683,12985,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 S,VSS295,COBALT,M,OS22286,12995,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 T,VSS251,IRIS,L,OS17159,13365,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
01-Jul-23,PERNIA,Jul-23,493997,10672,VSS3,CAMELLIA,L,OS24313,12995,05-Jul-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
03-Jul-23,EVOLUZIONE CHENNAI,Jul-23,SONIA PRAKSHAM,10712,VSS328,PEARL,M,OS24497,12285,25-Jul-23,EVOLUZIONE CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
04-Jul-23,ARLA INDIA,Jul-23,25YT,10735 A,VSS356,SKY,M,,9975,21-Jul-23,INDIA POP UP,CORPORATE ONLINE,SS23,CO-ORD,8-10K
04-Jul-23,ARLA INDIA,Jul-23,25YT,10735 B,VSS3,CAMELLIA,M,,12995,21-Jul-23,INDIA POP UP,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
04-Jul-23,PERNIA MUMBAI,Jul-23,496245,10734,VSS3,SAPPHIRE,XL,OS24305,12995,19-Jul-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
04-Jul-23,AZA ONLINE KOLKATA,Jul-23,250453,10733,VSS324,ONYX,S,OS23003,8295,24-Jul-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 22,DRESS,8-10K
04-Jul-23,AZA ONLINE KOLKATA,Jul-23,250372,10732,VSS358,RUE,XL,OS22482,"12,535",24-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
05-Jul-23,AZA ONLINE KOLKATA,Jul-23,250850,10754,VSS6,DAFFODIL,XL,OS19189,12785,11-Jul-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
05-Jul-23,AZA ONLINE KOLKATA,Jul-23,250849,10753,VSS359,HIBISCUS,XL,OS24319,12795,25-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
07-Jul-23,AZA ONLINE KOLKATA,Jul-23,250910,10766,VSS115,PERIWINKLE,L,OS20797,14495,15-Jul-23,AZA ONLINE,CORPORATE ONLINE,PRE FESTIVE 21,ANARKALI,14-16K
07-Jul-23,OGAAN ONLINE,Jul-23,113730,10765,VSS332,RUE,M,OS24124,8455,26-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,DRESS,8-10K
